info_status,koi_period,koi_duration,koi_impact,koi_ror,koi_dor,koi_depth,koi_slogg,koi_srad,koi_smass,density_diff,Transit_shape
FP,6.71725648,2.5207,0.163,0.015135,20.41,272.7,4.094,1.683,1.285,21.85185185,0.178135
FP,39.1307086,2.295,0.013,0.01305,131.9,201,4.401,1.08,1.065,5.325443787,0.02605
FP,175.0658609,4.5181,1.149,0.454277,263.8,45134,4.57,0.819,0.922,9.296781883,1.603277
FP,0.73975345,4.2,0.525,0.020433,1.396,481.8,4.436,0.935,0.869,15.99247413,0.545433
FP,4.94402197,4.062,1.157,0.177335,2.33,363.3,4.035,1.7,1.141,11.63793103,1.334335
FP,4.944046127,4.50334,0.964,0.49712,9.678,112500,4.438,1,1,0.8,1.46112
FP,0.739761008,7.589,1.2359,0.253101,1.254,292.1,4.9,0.35,0.354,184.631222,1.489001
FP,1.38607973,8.7,0.0198,0.007212,1.376,64.6,4.562,0.768,0.784,28.48064702,0.027012
FP,6.0353643,9.211,0.707,0.00673,3.68,47.2,3.876,2.552,1.784,42.99065421,0.71373
FP,8.097050622,5.6736,0.592,0.245958,11.987,65620,4.423,0.894,0.771,30.67655236,0.837958
FP,8.0970583,5.699,0.959,0.030415,4.202,680.7,4.2,1.455,1.23,18.04511278,0.989415
FP,309.494217,13.716,0.0542,0.015842,174.86,292,4.085,1.614,1.155,12.72727273,0.070042
Confirmed,2.852348262,0.7051,0.295,0.035061,30.7,1402.9,4.83,0.433,0.463,117.6398387,0.330061
FP,0.648868342,2.82428,1.172,0.434552,1.93,34770,4.12,1.524,1.117,9.810126582,1.606552
Confirmed,9.3789167,3.3427,0.671,0.023007,16.56,563.5,4.493,0.808,0.741,35.9430605,0.694007
FP,0.54624855,2.0543,1.215,0.242745,1.334,639.7,4.625,0.714,0.792,27.20588235,1.457745
FP,0.546248198,2.1081,0.946,0.496587,2.58,114530,4.438,1,1,0.8,1.442587
FP,5.088582739,7.6066,1.195,0.215545,1.659692,448.9,4.052,1.955,1.571,35.71428571,1.410545
FP,1.52327807,3.813,0.026,0.026486,3.189,924.2,2.633,7.912,0.981,0,0.052486
FP,1.523298835,5.9083,0.41,0.411842,2.809,195070,4.469,0.866,0.804,25.3634895,0.821842
FP,45.5827119,3.193,0.253,0.008166,106.4,76.5,3.828,2.715,1.807,44.44444444,0.261166
FP,1.89140138,9.52,1.222,0.246923,1.288,557.6,4.466,0.952,0.968,4.099821747,1.468923
FP,1.89129338,5.677,0.373,0.005274,2.466,33.8,4.558,0.733,0.709,42.16666667,0.378274
FP,1.89124453,5.08,0.734,0.005493,2.125,31,3.72,1.977,0.749,34.02061856,0.739493
FP,1.8912851,6.182,1.216,0.258518,1.446,1223.4,4.605,0.707,0.734,37.26528647,1.474518
FP,1.89134201,4.674,0.2376,0.01037,3.098,128.9,4.567,0.815,0.895,12.58318209,0.24797
Confirmed,9.286964466,3.3649,0.004,0.023784,21.594,691.7,4.575,0.81,0.907,11.07205624,0.027784
FP,0.631795416,1.0703,0.433,0.011358,4.18,145.2,4.173,1.519,1.256,19.83240223,0.444358
FP,5.09506,5.73,0.691,0.004733,5.02,23.6,3.48,4.146,1.893,48.14814815,0.695733
FP,37.4783492,5.317,1.161,0.209206,18.31,1467.9,4.813,0.44,0.459,119.5434298,1.370206
FP,6.70258007,4.632,1.237,0.270334,3.45,859,2.475,13.652,2.031,100,1.507334
FP,205.5833309,6.0353,1.215,0.427207,195,24872,4.516,0.915,1,0.7662835249,1.642207
FP,2.217038096,1.8575,0.754,0.023203,6.37,543.7,4.352,1.276,1.334,24.45482866,0.777203
FP,2.21701025,2.148,0.0662,0.005058,7.93,29.4,4.067,2.092,1.863,45.81280788,0.071258
FP,87.87826191,12.8138,0.585,0.618216,79.062,339060,3.985,1.642,0.951,6.046511628,1.203216
FP,0.592562969,3.0869,1.252,0.295765,1.359,1546.4,4.575,0.804,0.896,12.47099768,1.547765
FP,15.92663277,7.42888,0.672,0.578733,23.4211,271860,4.471,0.917,0.907,11.13945578,1.250733
FP,1.99042642,3.083,0.067,0.010627,5.008,133.8,4.464,1.005,1.072,5.965909091,0.077627
FP,1.99042642,3.083,0.067,0.010627,5.008,133.8,4.464,1.005,1.072,5.965909091,0.077627
Confirmed,217.8318429,21.306,0.004,0.08768,84.956,9148.7,4.385,1.167,1.21,16.68856767,0.09168
Confirmed,217.8318429,21.306,0.004,0.08768,84.956,9148.7,4.385,1.167,1.21,16.68856767,0.09168
Confirmed,47.1484324,3.1347,0.668,0.032227,90.5,1113.8,4.579,0.734,0.746,35.10074231,0.700227
FP,615.16033,3.958,0.1544,0.015149,1191,267.1,3.882,2.711,2.043,50.48543689,0.169549
FP,0.958116585,2.3496,1.275,0.329783,1.749,2374.1,4.147,1.365,0.954,5.6,1.604783
Confirmed,14.5598556,5.624,0.026,0.015571,20.086,290.6,4.46,0.966,0.983,2.568807339,0.041571
Confirmed,1.541676547,1.9118,0.362,0.015785,5.88,296.5,4.337,1.089,0.94,7.142857143,0.377785
